label,type,V2018,V2022,V2026,options_2018,options_2022,options_2026,comparable,source_2018_2022,source_2022_2026
Streek,,V02,,,,,,single-wave,,
Gemeente,,V03,,,,,,single-wave,,
Sinode,,V04,,,,,,single-wave,,
Belydende Lidmate,numeries,V05,V05,V02,,,,numeric,KS_lookup,block+order
Dooplidmate,numeries,V06,V06,V03,,,,numeric,KS_lookup,block+order
Ongedooptes,numeries,V07,V07,V04,,,,numeric,KS_lookup,block+order
Tussen 60 en 80,numeries,V08,V08,V06,,,,numeric,KS_lookup,block+text
ouer as 80,numeries,V09,V09,V05,,,,numeric,KS_lookup,block+text
Belydende Lidmate buite geografiese grense,numeries,V10,V10,,,,,numeric,KS_lookup,
Dooplidmate buite geografiese grense,numeries,V11,V11,,,,,numeric,KS_lookup,
Ongedooptes buite geografiese grense,numeries,V12,V12,,,,,numeric,KS_lookup,
"Hoeveel lidmate het gedurende 2017 lidmaat van dié gemeente geword, wat voorheen nie lidmaat van enige ander gemeente of denominasie was nie? Belydende lidmate",,V13,V13,V08,,,,numeric,block+order,block+text
"Hoeveel lidmate het gedurende 2017 lidmaat van dié gemeente geword, wat voorheen nie lidmaat van enige ander gemeente of denominasie was nie? Dooplidmate",,V14,V14,,,,,numeric,block+order,
"Hoeveel lidmate het gedurende 2017 lidmaat van dié gemeente geword, wat voorheen nie lidmaat van enige ander gemeente of denominasie was nie? Ongedooptes",,V15,V15,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Babas gedoop",,V16,V16,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Kinders gedoop",,V17,V17,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Volwassenes gedoop",,V18,V18,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Dooplidmate wat belydenis van geloof afgelê het",,V19,V19,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? wat belydenis van geloof afgelê het",,V20,V20,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Troues",,V21,V21,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Begrafnisse",,V22,V22,,,,,numeric,block+order,
Aantal voltydse Predikante,numeries,V23,V23,,,,,numeric,KS_lookup,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is Tans vakant,,V24,V24,,,,,numeric,block+order,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is In 2014-2017 verander na ŉ “verkleinde” pos,,V25,V25,,,,,numeric,block+order,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is in 2014-2017 afgeskaf/gesluit,,V26,V26,,,,,numeric,block+order,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is in 2014-2017 geskep,,V27,V27,,,,,numeric,block+order,
Hoeveel predikantsposte word gevul deur Voltydse geordende leraar(s) (Voltydse onbepaalde termynpos),,V28,V28,V14,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur Tentmakerleraar (Deeltydse onbepaalde termynpos),,V29,V29,V15,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur Leraar met kontrakpos (Voltydse vaste termynpos),,V30,V30,V16,,,,numeric,block+text,block+text
