row,key_2026,name_2026,V03,method,note,status
0,05063WAR001,Warden,VS-WAR001,key+name,,keep
1,01017HOT001,HOTTENTOTS-HOLLAND,WK-HOT001,key+name,,keep
2,02033NAH001,Nahoon,OK-NAH001,key+name,,keep
3,02036DES003,DESPATCH-NOORD,OK-DES003,key+name,,keep
4,05063FRA002,Frankfort,VS-FRA002,key+name,,keep
5,01025SIM003,Simonstad,WK-SIM003,key+name,,keep
6,05061PET001,Petrusburg,VS-PET001,name-exact,,keep
7,01011MOS002,MOSSELBAAI-SUID,WK-MOS002,key+name,,keep
8,05059HEU002,Heuwelsig,VS-HEU002,key-only,,keep
9,05057BET007,BETHLEHEM-EUREKA,VS-BET007,key+name,,keep
10,04135WIN007,Winterton,KZ-WIN007,key+name,,keep
11,06076KLD004,NG Gemeente Klerksdorp-Goudkop,GL-KLE004,name-exact,,keep
12,08107BIR001,BIRCHLEIGH,HS-BIR001,key+name,,keep
13,01014DRA002,NG Drakenstein Paarl,WK-DRA002,key+name,,keep
14,05068VAA001,VAALPARK (SASOLBURG),VS-VAA001,key+name,,keep
15,05069BOT004,NG Gemeente Bothaville Noord,VS-BOT004,key+name,,keep
16,01013KAN001,KANGOVALLEIE,WK-KAN001,key+name,,keep
17,04135DUN001,NG Biggarsbergvallei,KZ-DUN001,key-only,,keep
18,06077RAN008,Rant en Dal Prisma,GL-RAN008,key+name,,keep
19,01001LEE003,LEEU-GAMKA,WK-LEE003,key+name,,keep
20,09122MAC001,MACHADO-BOVEN,OS-MAC001,key+name,,keep
21,07101KAM003,Familiekerk NG Kameeldrif,NS-KAM003,key-only,,keep
22,01923lyt001,Lyttelton,OS-LYT001,key+name,,keep
23,01019WEL007,WELLINGTON,WK-WEL007,key+name,,keep
24,NS_BRI001,NG KERK BRITS,NS-BRI001,name-exact,,keep
25,04136VRY006,Vryheid Suid-Oos,KZ-VRY006,key+name,,keep
26,05057BET010,BETHLEHEM-OOS,VS-BET010,key+name,,keep
27,SPR004,NG GEMEENTE SPRINGS NOORD,HS-SPR004,key+name,,keep
28,05069EDE004,EDENVILLE,VS-EDE004,key+name,,keep
29,06072MIG001,Migdol,GL-MIG001,key+name,,keep
30,09128WIT004,NG Kerk Witbank-Suid,OS-WIT004,key+name,,keep
31,01020ROB002,NG Kerk Robertson-Oos,WK-ROB002,key+name,,keep
32,02030ELLIOT,Elliot,OK-ELL001,name-exact,,keep
33,02027NEW008,Newtonpark,OK-NEW008,key+name,,keep
34,03044DUT003,DUTOITSPAN,NK-DUT003,key+name,,keep
35,05057ARL001,Arlington,VS-ARL001,key+name,,keep
36,08105SUN002,Sunwardpark,HS-SUN002,key+name,,keep
37,02031MUR002,MURRAYSBURG,OK-MUR002,key+name,,keep
38,02036BOT002,BOTHASRUS,OK-BOT002,key+name,,keep
39,01023VRE005,VREDENBURG-AKKERDYK,WK-VRE005,key+name,,keep
40,09121TZA001,TZANEEN,OS-TZA001,key+name,,keep
41,03048WAR005,Warrenton,NK-WAR005,key+name,,keep
42,03044KIM010,KIMBERLEY-WES,NK-KIM010,key+name,,keep
43,06076ELA001,Elandia,GL-ELA001,override,,keep
44,03043MAR002,NG Kerk Marchand,NK-MAR002,key+name,,keep
45,03045MAF001,MAFIKENG,NK-MAF001,key+name,,keep
46,07100ALB007,Albertyn,NS-ALB007,key+name,,keep
47,08107BIR002,BIRCHLEIGH NOORD,HS-BIR002,key+name,,keep
48,01011DAN001,NEDERDUITSE GEREFORMEERDE KERK DANABAAI,WK-DAN001,key+name,,keep
49,08110EDE002,NG Gemeente Edenvale,HS-EDE002,key+name,,keep
50,07088DAL002,NG Dalunie,NS-DAL002,key+name,,keep
51,01008BLO009,BLOUBERGSTRAND,WK-BLO009,key+name,,superseded
52,02035POR007,NG PE-Nooitgedacht,OK-POR007,override,,keep
53,04135DAN005,DANSKRAAL,KZ-DAN005,key+name,,keep
54,07089BLO008,BLOUBERG,NS-BLO008,key+name,,keep
55,05059AAN001,aandbloem,VS-AAN001,key-only,,keep
56,03042PR1001,NG GEMEENTE PRIESKA,NK-PRI001,name-exact,,keep
57,01005GRA002,GRAAFWATER,WK-GRA002,key+name,,keep
58,08114FAI001,Fairland NG Gemeente,HS-FAI001,key-only,,keep
59,08111SUI011,Suikerbosrand,HS-SUI011,key+name,,keep
60,6073KLI004,KLIPVALLEI,GL-KLI004,key+name,,keep
61,09119MOR003,Morgenzon,OS-MOR003,key+name,,keep
62,05060BUL002,BULTFONTEIN MOEDERGEMEENTE,VS-BUL002,key-only,,keep
63,06072GSA001,Glaudina,GL-GLA001,name-exact,,keep
64,07101MON003,MONTANA,NS-MON003,key+name,,keep
65,01006PAR001,Parke-gemeente,WK-PAR001,key+name,,keep
66,01005VAN011,NG Kerk Vanrhynsdorp,WK-VAN011,key+name,,keep
67,03038VOS001,VOSBURG,NK-VOS001,key+name,,keep
68,01004CAL001,Caledon,WK-CAL001,key+name,,keep
69,01013OUD006,Oudtshoorn-Welgeluk,WK-OUD006,key+name,,keep
70,04135NEW002,Bergsig Newcastle,KZ-NEW002,key-only,,keep
71,05061JAC001,Jacobsdal,VS-JAC001,key+name,,keep
72,05058BLO02,Bloemfontein-Noord (Klipkerk),VS-BLO002,key+name,,keep
73,02036DES001,DESPATCH-DAGBREEK,OK-DES001,key+name,,keep
74,HS 08106 BR,BRAKPAN-OOS,HS-BRA008,name-exact,,keep
75,02033CAM001,CAMBRIDGE,OK-CAM001,key+name,,keep
76,06084DRI001,NG KERK DRIE RIVIERE,GL-DRI001,key+name,,keep
77,07097PIE002,NGK Pierneefrant,NS-PIE002,key+name,,keep
78,09128WIT003,Witbank Panorama,OS-WIT003,key+name,,keep
79,02033nah001,NAHOON,OK-NAH001,key+name,,superseded
80,01022VAS001,Vasco,WK-VAS001,key+name,,keep
81,01020BUF001,BUFFELJAGSRIVIER,WK-BUF001,key+name,,keep
82,06074DEL003,DELAREYVILLE-OOS,GL-DEL003,key+name,,keep
83,08102BRA001,BRACKENDAL,HS-BRA001,key+name,,keep
84,05070LAN003,LANGENHOVENPARK (BLOEMFONTEIN),VS-LAN003,key+name,,keep
85,01004HER003,HERMANUS,WK-HER003,key+name,,keep
86,07087QUA001,QUEENSWOOD,NS-QUA001,override,,keep
87,01007BLA001,Blanco,WK-BLA001,key+name,,keep
88,05070UNI005,Universitas-Wes Bloemfontein,VS-UNI005,key+name,,keep
89,05059BLO004,BLOEMHEUWEL(BLOEMFONTEIN),VS-BLO004,key-only,,keep
90,05071STH00,"NG Kerk St Helena 50 Othello weg St Helena,  Welkom",VS-STH001,override,,keep
91,01016HEI003,HEIDELBERG WES KAAP,WK-HEI003,key-only,,keep
92,02030iND001,Indwe,OK-IND001,key+name,,keep
93,07091LIM002,LIMPOPO,NS-LIM002,key+name,,keep
94,01025ZWA001,ZWAANSWYK,WK-ZWA001,key+name,,keep
95,05069KRO003,KROONHEUWEL-NOORD (KROONSTAD),VS-KRO003,key+name,,keep
96,09121GRA007,GRAVELOTTE,OS-GRA007,key+name,,keep
97,01025VIS001,VISHOEK,WK-VIS001,key+name,,keep
98,05068PAR020,PARYS-WES,VS-PAR020,key+name,,keep
99,06076KLE010,KLERKSDORP - WILKRUIN,GL-KLE010,key+name,,keep
100,06072LEE002,NG KERK Leeudoringstad,GL-LEE002,key+name,,keep
101,01001VIC,VICTORIA-WES,WK-VIC001,name-exact,,keep
102,05065MAR009,NG Kerk Marquard,VS-MAR009,key+name,,keep
103,02036RET001,Retief,OK-RET001,key-only,,keep
104,09122BUR002,Burgersfort,OS-BUR002,key+name,,keep
105,02031RIE007,RIETBRON,OK-RIE007,key+name,,keep
106,05069KRO005,Kroonstad,VS-KRO005,key+name,,keep
107,NS-CHI001,ChinhoyiKaroi,NS-CHI001,key+name,,keep
108,01021PRI005,Prince Alfred's Hamlet,WK-PRI005,key+name,,keep
109,09127PIE005,NG KERK PIET RETIEF,OS-PIE005,key+name,,keep
110,02028MOL001,Molteno,OK-MOL001,key+name,,keep
111,05069KRO008,KROONSTAD OOS,VS-KRO008,key+name,,keep
112,05060DEN002,DENEYSVILLE,VS-DEN002,key+name,,keep
113,02034ANC001,Anchor of Hope,OK-ANC001,key+name,,keep
114,07100WAT001,WATERBERG,NS-WAT001,key+name,,keep
115,030390LI002,N G KERK OLIFANTHOEK,NK-OLI002,name-fuzzy,,keep
116,05070UNI003,Geloofsentrum Universitas,VS-UNI003,key-only,,keep
117,01009GEO003,GEORGE-DENNEOORD,WK-GEO003,key+name,,keep
118,06083VAN0,COLLAGE,GL-VAN007,override,,keep
119,09117BAR001,NG Gemeente Barberton,OS-BAR001,key+name,,keep
120,07089LOU001,LOUISTRICHARDT,NS-LOU001,key-only,,keep
121,06083KOL001,KOLLEGEPARK,GL-KOL001,key+name,,keep
122,01002BEL003,BELLVILLE-NOORD,WK-BEL003,key+name,,keep
123,04135LAD005,Ladysmith,KZ-LAD005,key+name,,keep
124,05064kop001,Koppies,VS-KOP001,key+name,,keep
125,08106BRA010,BRAKPAN - WES,HS-BRA010,key+name,,keep
126,01003BRA004,BRACKENFELL-WES,WK-BRA004,key+name,,keep
127,09119CHR001,NG CHRISSIESMEER,OS-CHR001,key+name,,keep
128,08105VAN010,NG Kerk Van Dyk Park,HS-VAN010,key+name,,keep
129,01004STA005,STANFORD,WK-STA005,key+name,,keep
130,08109Sec003,Secunda-Oos,HS-SEC003,key+name,,keep
131,09127AMS001,Amsterdam,OS-AMS001,key+name,,keep
132,05071DAG001,Dagbreek,VS-DAG001,key+name,,keep
133,07094OND002,NG Kerk Onderstepoort,NS-OND002,key+name,,keep
134,01007GEO005,GEORGE-TUINEDAL,WK-GEO005,key+name,,keep
135,01007GEO004,GEORGE-SUID,WK-GEO004,key+name,,keep
136,06076KLE002,Klerksdorp-Doringkruin,GL-KLE002,key+name,,keep
137,03047UPI001,Upington,NK-UPI001,key+name,,keep
138,09128BLI001,BLINKPAN,OS-BLI001,key+name,,keep
139,03038BRA013,Brandvlei,NK-BRA013,key+name,,keep
140,01005CAL004,CALVINIA,WK-CAL004,key+name,,keep
141,07097CA002,Capital Park Concordia,NS-CAP002,name-exact,,keep
142,02026PAT001,PATERSON,OK-PAT001,key+name,,keep
143,07086B001,BOOYSEN,NS-BOO001,name-exact,,keep
144,08112BRI001,BRIXTONKERK,HS-BRI001,name-fuzzy,,keep
145,09126SKU001,Skuilkrans,OS-SKU001,key+name,,keep
146,03044KIM005,KIMBERLEY-HARMONIE,NK-KIM005,key+name,,keep
147,07098WIE002,KERK-IN-SUID (WIERDAPARK-SUID),NS-WIE002,key+name,,keep
148,05063KER002,NG Kerkenber,VS-KER002,key-only,,keep
149,06083DR1004,Driehoek,GL-DRI004,name-exact,,keep
150,03044KIM009,Kimberley-Vooruitsig,NK-KIM009,key+name,,keep
151,09128WIT002,BASILEIA,OS-WIT002,key-only,,keep
152,07100WAR002,WARMBAD,NS-WAR002,key+name,,keep
